and_A,and_B,label,sentence1,sentence2
,,1,vincent has traveled to arad and stella has traveled to arad,stella didn t travel to arad
,,1,Ronnie saw Olga running from a purple bus with a new engine,Ronnie didn't saw Olga running
,,1,jerome has visited bucharest and harvey has visited bucharest,harvey didn t visit bucharest
Debra is famous,Javier is tender,1,Debra is famous and Javier is tender, Javier is not tender
,,1,eva was a jolly person and eva threw everything out the window,eva didn t throw everything out the window
,,1,harvey gave jeffrey a purple bicycle and harvey brought me out of samantha s house,harvey didn t bring me out of samantha s house
,,0,martha created a helpless work of art and martha created an alive work of art,joe didn t create a helpless work of art
,,1,Alberta saw a boy running from a bus going to Hunedoara,Alberta didn't saw a boy running
,,1,"Jessie, who is a tailor, saw a dog chasing a cat",Jessie isn't a tailor
Raymond is calm,Jeremy is famous,0,Raymond is calm and Jeremy is famous, Jeremy is not calm
,,1,philip created a fit work of art and philip created a green work of art,philip didn t create a fit work of art
,,0,juan has traveled to reghin and juan has traveled to vaslui,andrea didn t travel to reghin
,,0,jackie created a grumpy work of art and jackie created a mealy work of art,jackie didn t create a purple work of art
,,1,"Juan, who is a hairdresser, visit Todd",Juan didn't visit Todd
,,1,"Samantha, who is a engineer, bought a Macbook",Samantha isn't a engineer
,,0,"Oscar, who is a electrician, bought a cup of coffee","Oscar, who is a journalist, didn't buy a cup of coffee"
,,0,rose created a worried work of art and rose created an elegant work of art,rose didn t create a lively work of art
,,0,marshall created a clever work of art and marshall created a fancy work of art,joel didn t create a fancy work of art
,,0,felicia created a wrong work of art and felicia created a jealous work of art,deanna didn t create a jealous work of art
,,1,ruby knew dora s secret and ruby left me,ruby didn t know dora s secret
,,0,"Sidney, who is a lawyer, saw a blue plane","Sidney, Madeline's father, didn't saw a blue plane"
,,0,shelly has visited deva and shelly has visited giurgiu,shelly didn t visit timisoara
Sylvia is zealous,Keith is delightful,0,Sylvia is zealous and Keith is delightful, Maryann is mushy
,,1,seth has traveled to arad and tina has traveled to arad,seth didn t travel to arad
,,0,Marilyn saw Amelia running from Zachary's car,Marilyn didn't saw Amelia running from a purple car
,,1,elsie broke lori s heart and elsie fought me,elsie didn t fight me
,,0,armando stood in front of the crowd and armando won the game,audrey didn t win the game
,,0,ted went to bucharest and ted went to oradea,ted didn t go to dej
,,0,marcia created a black work of art and marcia created a plain work of art,marcia didn t create an orange work of art
,,0,thomas went to slatina and patsy went to slatina,sylvia didn t go to slatina
Joe is poor,Melinda is clever,1,Joe is poor and Melinda is clever, Melinda is not clever
,,1,rene began screaming and rene let me drive judith s mango car,rene didn t begin screaming
,,1,alberto knew about us and alberto went to gertrude s house,alberto didn t go to gertrude s house
Beulah is gifted,Heidi is unimportant,1,Beulah is gifted and Heidi is unimportant, Heidi is not unimportant
Allen is eager,Eugene is easy,0,Allen is eager and Eugene is easy, Allen is not easy
,,1,phillip won the soccer match and phillip hid a smile,phillip didn t hide a smile
,,1,"Flora, who is a tailor, saw a girl running",Flora didn't saw a girl running
,,1,christian hung up on me and christian thought joann was going to die,christian didn t hang up on me
,,1,maureen went to giurgiu and cindy went to giurgiu,cindy didn t go to giurgiu
,,0,roger dug a hole in aaron s backyard and roger began screaming,jesse didn t dig a hole in aaron s backyard
Walter is obedient,Norman is inexpensive,0,Walter is obedient and Norman is inexpensive, Norman is not obedient
,,0,isaac has visited slatina and kent has visited slatina,nora didn t visit slatina
,,1,Barbara saw a boy running from a bus going to Dej,Barbara didn't saw a boy running
,,0,jackie went to bucharest and hattie went to bucharest,hattie didn t go to dej
,,1,"Ethel, who is a accountant, saw the car crash",Ethel didn't saw the car crash
,,0,edward created a brave work of art and edward created an icy work of art,eddie didn t create an icy work of art
,,1,julio created a mealy work of art and julio created a flabby work of art,julio didn t create a mealy work of art
,,1,lynda created a helpless work of art and lynda created a scruffy work of art,lynda didn t create a helpless work of art
,,1,"Clyde, who is a builder, bought a japanese novel",Clyde isn't a builder
Philip is kind,Lisa is aggressive,1,Philip is kind and Lisa is aggressive, Philip is not kind
,,0,grace created a grumpy work of art and grace created an itchy work of art,vincent didn t create an itchy work of art
,,1,"Ruth, who is a plumber, bought a Chilean wine",Ruth didn't buy a Chilean wine
Kristi is faithful,Alice is agreeable,1,Kristi is faithful and Alice is agreeable, Kristi is not faithful
,,0,jacqueline has traveled to oradea and sylvia has traveled to oradea,sylvia didn t travel to baia mare
,,0,lola created an important work of art and lola created a beautiful work of art,jimmy didn t create a beautiful work of art
,,0,mark has traveled to lugoj and mark has traveled to bucharest,mark didn t travel to tulcea
Joyce is tender,Hector is rich,1,Joyce is tender and Hector is rich, Hector is not rich
,,0,Kristy saw a girl running from a black school bus,Kristy didn't saw a girl running from a parade car
,,1,"Kim, who is a cleaner, saw a girl running",Kim isn't a cleaner
,,1,lorraine felt threatened and lorraine cut a tree,lorraine didn t cut a tree
Kristen is faithful,Erik is happy,0,Kristen is faithful and Erik is happy, Opal is powerful
,,1,Sandra saw Billie running from a blue bus with a new engine,Sandra didn't saw Billie running
,,0,jan created a brave work of art and jan created an unkempt work of art,nicholas didn t create a brave work of art
Leon is proud,Christian is gifted,0,Leon is proud and Christian is gifted, Leon is not gifted
,,0,denise created a jolly work of art and denise created a thankful work of art,beulah didn t create a thankful work of art
,,0,"Gregory, who is a cop, bought a japanese novel","Gregory, Norma's father, didn't buy a japanese novel"
,,0,beverly has traveled to hunedoara and beverly has traveled to timisoara,beverly didn t travel to cluj napoca
,,0,judith has traveled to bucharest and judith has traveled to bucharest,priscilla didn t travel to bucharest
,,0,dwight has traveled to lugoj and james has traveled to lugoj,dave didn t travel to lugoj
,,0,Nellie saw a boy driving Paul's bicycle,Nellie didn't saw a boy driving Oscar's new Tesla Roadster
Dawn is proud,Brad is agreeable,0,Dawn is proud and Brad is agreeable, Sara is not clever
,,1,sarah has visited timisoara and belinda has visited timisoara,belinda didn t visit timisoara
,,1,greg said funny things and greg felt an outsider,greg didn t say funny things
,,1,kim created a short work of art and kim created a fit work of art,kim didn t create a short work of art
,,1,dean slept for one day and dean paid tracy,dean didn t pay tracy
,,1,amanda went to oradea and amanda went to reghin,amanda didn t go to oradea
,,0,alice created a skinny work of art and alice created an attractive work of art,karen didn t create a skinny work of art
Iris is zealous,Lance is polite,0,Iris is zealous and Lance is polite, Franklin is not poor
,,0,Candice saw a boy driving Nicholas's bicycle,Candice didn't saw a boy driving Thomas's car
,,1,vincent became the most important hairdresser in this town and vincent saw the best technician from dej,vincent didn t see the best technician from dej
,,1,"Vivian, who is a cleaner, bought the new Tesla Roadster",Vivian didn't buy the new Tesla Roadster
Claire is nice,Marshall is happy,1,Claire is nice and Marshall is happy, Claire is not nice
,,0,kristin hurt me and kristin sang a nice song,bryan didn t sing a nice song
,,0,Charlie saw a boy driving an electric ashy bicycle,Charlie didn't saw a boy driving Dwayne's car
,,1,erika went to bucharest and alberta went to bucharest,erika didn t go to bucharest
,,1,harriet has visited craiova and bernice has visited craiova,harriet didn t visit craiova
Joan is lively,Randall is helpful,0,Joan is lively and Randall is helpful, Joan is not helpful
,,1,"Nellie, who is a vet, bought the new Tesla Roadster",Nellie isn't a vet
,,1,Adam saw a boy running from Enrique's car,Adam didn't saw a boy running
,,1,iris has traveled to craiova and iris has traveled to tulcea,iris didn t travel to tulcea
Rita is calm,Kent is rich,0,Rita is calm and Kent is rich, Kent is not calm
,,1,frances went to hunedoara and theodore went to hunedoara,theodore didn t go to hunedoara
,,0,shirley went to bucharest and elmer went to bucharest,elmer didn t go to turda
,,0,carolyn went to slatina and april went to slatina,april didn t go to reghin
,,1,sonya drew ahead of the other runners and sonya stood in front of the crowd,sonya didn t draw ahead of the other runners
,,1,jeremy read a paper and jeremy knew kenneth s secret,jeremy didn t read a paper
,,0,joanna went to craiova and joanna went to blaj,darren didn t go to craiova
,,1,Johnnie saw Joan running from a orange bus with a new engine,Johnnie didn't saw Joan running
,,1,olga won the game and olga flew to slobozia,olga didn t win the game
,,1,Annie saw a girl driving an electric white bicycle,Annie didn't saw a girl driving
Frederick is agreeable,Nicholas is clever,0,Frederick is agreeable and Nicholas is clever, Nicholas is not agreeable
,,0,kathleen went to deva and kathleen went to dej,brandy didn t go to deva
,,1,bobby has traveled to deva and bobby has traveled to lugoj,bobby didn t travel to deva
,,0,jessie created a mysterious work of art and jessie created an icy work of art,jessie didn t create an easy work of art
,,0,isabel created an important work of art and isabel created a rich work of art,rita didn t create a rich work of art
,,1,Catherine saw Jeffrey running from Fernando's car,Catherine didn't saw Jeffrey running
,,1,joan has traveled to craiova and reginald has traveled to craiova,joan didn t travel to craiova
,,1,"Clarence, who is a engineer, visit Greg",Clarence isn't a engineer
Doris is happy,Jimmie is important,0,Doris is happy and Jimmie is important, Doris is not important
,,0,larry has visited hunedoara and holly has visited hunedoara,holly didn t visit bucharest
,,1,mary has traveled to timisoara and mary has traveled to oradea,mary didn t travel to timisoara
,,1,jeff created a kind work of art and jeff created a polite work of art,jeff didn t create a kind work of art
Dana is jolly,Dave is jolly,1,Dana is jolly and Dave is jolly, Dana is not jolly
,,1,shane went to timisoara and shane went to oradea,shane didn t go to oradea
,,0,gerald went to vaslui and gerald went to arad,arnold didn t go to vaslui
,,0,Claude saw Violet running from a parade car,Claude didn't saw Violet running from a bus going to Cluj-Napoca
,,1,sarah created a long work of art and sarah created a scary work of art,sarah didn t create a long work of art
,,0,"Warren, who is a painter, saw the city mayor","Warren, who is a secretary, didn't saw the city mayor"
,,1,gary lost my computer and gary dreamed of the playing with walter,gary didn t lose my computer
Beth is thankful,Olga is wrong,0,Beth is thankful and Olga is wrong, Beth is not wrong
,,0,arnold spent all my money and arnold dreamed of the playing with casey,becky didn t dream of the playing with casey
,,0,"Kristi, who is a butcher, saw the car crash","Kristi, who is a flight attendant, didn't saw the car crash"
Charles is aggressive,Dan is zealous,0,Charles is aggressive and Dan is zealous, Jerry is clever
,,0,ray created a beautiful work of art and ray created a poor work of art,ray didn t create a muscular work of art
Roger is calm,Arlene is gentle,0,Roger is calm and Arlene is gentle, Jacqueline is not tender
,,1,karl created a gorgeous work of art and karl created a pitiful work of art,karl didn t create a gorgeous work of art
,,0,alfredo went to vaslui and wade went to vaslui,wade didn t go to tulcea
,,1,brandon has visited turda and brandon has visited hunedoara,brandon didn t visit turda
Willie is proud,Antonio is silly,1,Willie is proud and Antonio is silly, Willie is not proud
,,0,scott hit him and scott got the money,scott didn t catch a gray fish
,,0,agnes went to mangalia and willie went to mangalia,isabel didn t go to mangalia
,,1,Vicki saw Dustin running from a special recently built bus,Vicki didn't saw Dustin running
,,1,Marlene saw a boy running from Mattie's car,Marlene didn't saw a boy running
,,0,madeline has visited turda and judy has visited turda,blanche didn t visit turda
,,1,eddie lent me some money a month before and eddie met her,eddie didn t meet her
,,1,"Dale, who is a engineer, visit Willard",Dale isn't a engineer
Charlene is jolly,Jaime is zealous,0,Charlene is jolly and Jaime is zealous, Thomas is not shy
,,0,linda created a clever work of art and linda created an itchy work of art,marsha didn t create an itchy work of art
,,0,natasha has traveled to slatina and natasha has traveled to blaj,colleen didn t travel to blaj
,,1,janice bent the rules of the card game and janice brought me out of hector s house,janice didn t bend the rules of the card game
,,1,tina flew to deva and tina burned the flag,tina didn t fly to deva
,,0,geneva created an unkempt work of art and geneva created a happy work of art,lance didn t create a happy work of art
Louis is easy,Lula is better,1,Louis is easy and Lula is better, Lula is not better
,,0,evelyn hurt me and evelyn threw everything out the window,evelyn didn t fight me
,,1,"Antonio, who is a hairdresser, saw a girl running",Antonio didn't saw a girl running
,,1,vickie cut a tree and vickie bet on the game,vickie didn t cut a tree
,,0,kenneth left barcelona for hunedoara and kenneth became the most important pilot in this town,joel didn t become the most important pilot in this town
,,0,erin froze jeanette s bank account and erin spoke to him about craiova,amy didn t freeze jeanette s bank account
,,0,edward went to turda and jose went to turda,erica didn t go to turda
,,0,myrtle began crying and myrtle drank a beer,myrtle didn t dig a hole in the garden
,,1,max created a clumsy work of art and max created a victorious work of art,max didn t create a clumsy work of art
,,1,lance went to bucharest and lance went to arad,lance didn t go to bucharest
,,0,"Frank, who is a electrician, visit Mathew","Frank, Jan's father, didn't visit Mathew"
,,1,ryan has traveled to vaslui and ryan has traveled to oradea,ryan didn t travel to oradea
,,1,marcus wrote me about troy and marcus ate it all,marcus didn t write me about troy
,,1,melanie has visited slatina and melanie has visited reghin,melanie didn t visit slatina
,,0,leon was a fan of valerie s work and leon sold me a white car,frances wasn t a fan of valerie s work
,,0,"Tony, who is a barber, bought a Chilean wine","Tony, who is a baker, didn't buy a Chilean wine"
,,1,sonya swam out toward the mango boat and sonya lost the yellow car in oradea,sonya didn t swim out toward the mango boat
,,1,Hattie saw Carla running from a icy bus,Hattie didn't saw Carla running
,,1,kenneth created a thoughtless work of art and kenneth created a gray work of art,kenneth didn t create a thoughtless work of art
Victoria is faithful,Leonard is kind,1,Victoria is faithful and Leonard is kind, Victoria is not faithful
,,1,"Philip, who is a plumber, bought a Macbook",Philip didn't buy a Macbook
,,1,janet has visited slobozia and janet has visited oradea,janet didn t visit slobozia
,,1,gloria let this happen and gloria drank a beer,gloria didn t let this happen
Maxine is poor,Herman is mushy,1,Maxine is poor and Herman is mushy, Herman is not mushy
,,1,"Angela, who is a pilot, visit Nathan",Angela isn't a pilot
,,1,ricky created a salmon work of art and ricky created a helpful work of art,ricky didn t create a salmon work of art
,,1,angel created a gifted work of art and angel created a yellow work of art,angel didn t create a gifted work of art
,,1,lois caught a yellow fish and lois ate it all,lois didn t eat it all
,,1,rodney threw everything out the window and rodney went away,rodney didn t throw everything out the window
,,0,"Paul, who is a cleaner, bought a japanese novel","Paul, Julian's father, didn't buy a japanese novel"
,,1,melody has visited timisoara and melody has visited turda,melody didn t visit timisoara
,,0,heidi created a grumpy work of art and heidi created a faithful work of art,heidi didn t create a plump work of art
,,1,"Nellie, who is a hairdresser, bought a Macbook",Nellie isn't a hairdresser
,,0,ricardo created a clever work of art and ricardo created a mango work of art,ricardo didn t create a gentle work of art
,,0,carrie created an alive work of art and carrie created an easy work of art,carrie didn t create a skinny work of art
,,1,kristi went to slobozia and kristi went to slatina,kristi didn t go to slatina
,,0,fernando took the footage and fernando found her,fernando didn t lead me to ivan s house
,,0,"Philip, who is a carpenter, saw a dog chasing a cat","Philip, who is a vet, didn't saw a dog chasing a cat"
Verna is agreeable,Cassandra is tender,0,Verna is agreeable and Cassandra is tender, Verna is not tender
,,1,alicia created a yellow work of art and alicia created a careful work of art,alicia didn t create a yellow work of art
,,0,norma created a short work of art and norma created an ambitious work of art,denise didn t create an ambitious work of art
,,0,calvin was a fan of albert s work and calvin became the most important musician in this town,calvin didn t win the soccer match
,,0,leslie became the most important vet in this town and leslie laid down,sabrina didn t lay down
Marjorie is eager,Eva is nice,1,Marjorie is eager and Eva is nice, Marjorie is not eager
,,0,robert has traveled to slatina and rosemary has traveled to slatina,darren didn t travel to slatina
Genevieve is witty,Monique is agreeable,1,Genevieve is witty and Monique is agreeable, Genevieve is not witty
,,0,"Ricky, who is a tailor, bought the new Marvel movie from the Russo Brothers","Ricky, who is a cashier, didn't buy the new Marvel movie from the Russo Brothers"
,,1,"Nina, who is a hairdresser, visit Jeremy",Nina didn't visit Jeremy
,,0,fannie created a clever work of art and fannie created a plump work of art,penny didn t create a clever work of art
,,1,Elizabeth saw a girl running from a parade car,Elizabeth didn't saw a girl running
,,0,francis hit a tree and francis hid behind a bush,francis didn t read a paper
,,0,allison taught math and allison fought the law,gerald didn t fight the law
,,0,"Todd, who is a journalist, visit Debbie","Todd, who is a hairdresser, didn't visit Debbie"
,,0,daisy forgot about harry s past and daisy sang a pop song,daisy didn t keep terrence s secret from me
,,0,walter created a bald work of art and walter created an obnoxious work of art,armando didn t create an obnoxious work of art
,,1,jeffery created a grumpy work of art and jeffery created a dead work of art,jeffery didn t create a grumpy work of art
Marvin is rich,Gene is hallowed,1,Marvin is rich and Gene is hallowed, Gene is not hallowed
,,0,regina has traveled to turda and regina has traveled to arad,regina didn t travel to tulcea
,,1,ida created a muscular work of art and ida created a mealy work of art,ida didn t create a muscular work of art
Jesse is agreeable,Carlos is kind,1,Jesse is agreeable and Carlos is kind, Jesse is not agreeable
,,1,peter has visited reghin and peter has visited vaslui,peter didn t visit vaslui
,,1,theresa has traveled to oradea and theresa has traveled to giurgiu,theresa didn t travel to oradea
,,0,willie created a white work of art and willie created a hallowed work of art,james didn t create a white work of art
,,1,"Jerome, who is a chef, saw the car crash",Jerome isn't a chef
,,1,"Christine, who is a engineer, saw a girl running",Christine didn't saw a girl running
,,1,dennis has visited baia mare and alvin has visited baia mare,alvin didn t visit baia mare
,,1,shelley put steven in charge and shelley made me change the way i wrote,shelley didn t make me change the way i wrote
,,1,"Ruth, who is a carpenter, bought a pizza",Ruth didn't buy a pizza
,,0,sabrina saw him and sabrina sat on the mat,sabrina didn t hurt me
,,0,seth has visited lugoj and lorraine has visited lugoj,joy didn t visit lugoj
,,1,"Duane, who is a dentist, saw the car crash",Duane isn't a dentist
,,1,don felt a strange and don threw everything out the window,don didn t feel a strange
,,0,Eric saw Luis driving a ashy car,Eric didn't saw Luis driving Rene's bicycle
,,0,"Leslie, who is a doctor, bought a japanese novel","Leslie, who is a cashier, didn't buy a japanese novel"
,,1,chester created a wrong work of art and chester created a repulsive work of art,chester didn t create a wrong work of art
,,0,rose met her and rose drank a bottle of wine,louise didn t drink a bottle of wine
,,1,frederick hid a smile and frederick read the news,frederick didn t hide a smile
Andrea is agreeable,Bryan is wonderful,0,Andrea is agreeable and Bryan is wonderful, Vernon is gifted
,,1,manuel created a panicky work of art and manuel created an ashy work of art,manuel didn t create a panicky work of art
Stephen is powerful,Kristine is inexpensive,1,Stephen is powerful and Kristine is inexpensive, Kristine is not inexpensive
,,0,kenneth has visited lugoj and herbert has visited lugoj,dave didn t visit lugoj
Gilbert is happy,Sheryl is zealous,0,Gilbert is happy and Sheryl is zealous, Dwight is gifted
,,0,gabriel heard me and gabriel led me to bradley s house,gabriel didn t send me a letter
Tyrone is faithful,Kim is eager,1,Tyrone is faithful and Kim is eager, Tyrone is not faithful
,,1,"Bryan, who is a cop, saw a strange add",Bryan didn't saw a strange add
,,0,julie created a defeated work of art and julie created a gray work of art,wendy didn t create a defeated work of art
,,1,"Arnold, who is a fireman, saw the new Tesla Roadster",Arnold isn't a fireman
,,0,diane has visited timisoara and juan has visited timisoara,heidi didn t visit timisoara
,,0,"Leslie, who is a bartender, visit Marcia","Leslie, Bruce's father, didn't visit Marcia"
,,1,vivian created a green work of art and vivian created a helpful work of art,vivian didn t create a green work of art
Ana is ambitious,David is ambitious,0,Ana is ambitious and David is ambitious, Cody is powerful
,,0,wilma felt a strange and wilma went to cody s house,fred didn t go to cody s house
,,0,tracy went to blaj and tracy went to reghin,clyde didn t go to reghin
,,0,alex has visited hunedoara and paul has visited hunedoara,alex didn t visit timisoara
,,0,Darryl saw a boy running from a bus going to Timisoara,Darryl didn't saw a boy running from a parade car
,,0,"Carl, who is a baker, saw the city mayor","Carl, Jorge's father, didn't saw the city mayor"
,,1,jodi has traveled to tulcea and ramon has traveled to tulcea,jodi didn t travel to tulcea
,,1,"Larry, who is a vet, saw a strange add",Larry didn't saw a strange add
,,0,fannie ate a pizza and fannie paid me,bradley didn t pay me
Mitchell is rich,Tammy is helpful,1,Mitchell is rich and Tammy is helpful, Tammy is not helpful
,,0,mamie created an angry work of art and mamie created a clean work of art,mamie didn t create a bewildered work of art
,,1,Frederick saw a boy running from a white school bus,Frederick didn't saw a boy running
Ramona is hallowed,Roland is vast,1,Ramona is hallowed and Roland is vast, Roland is not vast
Donna is careful,Dora is hallowed,1,Donna is careful and Dora is hallowed, Dora is not hallowed
,,0,Richard saw a boy running from Melanie's car,Richard didn't saw a boy running from a orange school bus
,,0,judy created a calm work of art and judy created a defeated work of art,jennifer didn t create a defeated work of art
,,1,Karl saw a girl running from Edna's car,Karl didn't saw a girl running
,,1,clayton created a black work of art and clayton created a white work of art,clayton didn t create a black work of art
,,1,carole created a lazy work of art and carole created a kind work of art,carole didn t create a lazy work of art
,,1,harold has visited craiova and clara has visited craiova,clara didn t visit craiova
,,1,tonya created a plump work of art and tonya created a jealous work of art,tonya didn t create a plump work of art
,,1,"Judy, who is a chef, visit Jane",Judy isn't a chef
,,0,bob has visited tulcea and bob has visited lugoj,bob didn t visit reghin
Naomi is calm,Mark is faithful,1,Naomi is calm and Mark is faithful, Naomi is not calm
,,1,"Edwin, who is a cashier, bought a Chilean wine",Edwin isn't a cashier
,,0,norma got me lying and norma began laughing,jim didn t get me lying
,,0,loretta went to baia mare and loretta went to cluj napoca,mamie didn t go to baia mare
,,0,violet has traveled to reghin and sheryl has traveled to reghin,sheryl didn t travel to tulcea
Tammy is faithful,Amber is rich,0,Tammy is faithful and Amber is rich, Tammy is not rich
,,0,maurice created a thoughtless work of art and maurice created a fancy work of art,edgar didn t create a fancy work of art
,,0,glen began crying and glen read the book about spiders,jim didn t begin crying
,,0,jo created a mealy work of art and jo created a delightful work of art,jo didn t create a gray work of art
,,0,Anita saw Manuel driving a white bicycle,Anita didn't saw Manuel driving in Reghin
,,0,francis has traveled to craiova and francis has traveled to bucharest,tanya didn t travel to craiova
,,1,alvin created an obedient work of art and alvin created a gifted work of art,alvin didn t create an obedient work of art
,,0,stacy slept the night and stacy heard my voice,stacy didn t do it again
,,0,lynn forgot about annie s past and lynn sent me a note,richard didn t forget about annie s past
,,0,pearl cut my hair and pearl made tea,norma didn t make tea
,,0,Laura saw Erik driving a ashy bicycle,Laura didn't saw Erik driving Bobbie's car
,,1,Marjorie saw Beth driving a white bicycle,Marjorie didn't saw Beth driving
,,0,Sandy saw Audrey driving a purple car,Sandy didn't saw Audrey driving Darrell's car
,,1,juana brought me out of christopher s house and juana stood in front of the crowd,juana didn t stand in front of the crowd
,,0,jessica sent me a note and jessica lent me some money a month before,erika didn t lend me some money a month before
,,1,cynthia created a dazzling work of art and cynthia created a short work of art,cynthia didn t create a dazzling work of art
,,1,bob created a zealous work of art and bob created an uninterested work of art,bob didn t create a zealous work of art
,,0,Loretta saw Jesse running from a purple bus with a new engine,Loretta didn't saw Jesse running from a special recently built bus
Milton is polite,Bertha is delightful,0,Milton is polite and Bertha is delightful, Bernice is not mushy
,,0,irma created an elegant work of art and irma created an unkempt work of art,roger didn t create an elegant work of art
,,0,jeffrey won the game and jeffrey dug a hole,jeffrey didn t eat a steak
,,1,wilma has visited giurgiu and fernando has visited giurgiu,fernando didn t visit giurgiu
Kent is silly,Cora is calm,1,Kent is silly and Cora is calm, Kent is not silly
,,1,kenneth created a wrong work of art and kenneth created a glamorous work of art,kenneth didn t create a wrong work of art
Cathy is gentle,Katherine is gentle,0,Cathy is gentle and Katherine is gentle, Jon is vast
Nathan is powerful,Craig is powerful,1,Nathan is powerful and Craig is powerful, Craig is not powerful
Allison is ambitious,Miguel is witty,1,Allison is ambitious and Miguel is witty, Allison is not ambitious
,,1,anne created a blue work of art and anne created an obedient work of art,anne didn t create a blue work of art
,,0,leo created a magnificent work of art and leo created a dead work of art,kirk didn t create a dead work of art
,,0,caroline went to lugoj and max went to lugoj,naomi didn t go to lugoj
,,1,jay hit her and jay began laughing,jay didn t hit her
,,0,nellie created a mealy work of art and nellie created a scary work of art,melissa didn t create a mealy work of art
,,1,willie created a jolly work of art and willie created a dazzling work of art,willie didn t create a jolly work of art
,,1,peggy has traveled to reghin and veronica has traveled to reghin,peggy didn t travel to reghin
,,0,jimmie created an agreeable work of art and jimmie created a mealy work of art,jimmie didn t create a flabby work of art
,,0,Heidi saw Clara running from a special recently built bus,Heidi didn't saw Clara running from a parade car
Lee is delightful,Keith is eager,1,Lee is delightful and Keith is eager, Lee is not delightful
,,1,gina has visited reghin and gina has visited timisoara,gina didn t visit timisoara
,,1,lois has visited mangalia and micheal has visited mangalia,micheal didn t visit mangalia
,,1,janet spent all my money and janet knew about us,janet didn t spend all my money
,,0,jacqueline said funny things and jacqueline cut a tree,cody didn t cut a tree
,,0,Marion saw a boy driving a gray bicycle,Marion didn't saw a boy driving Jane's car
,,0,katrina created a black work of art and katrina created a victorious work of art,katrina didn t create an odd work of art
,,1,lola has visited blaj and lola has visited baia mare,lola didn t visit baia mare
Eric is polite,Nina is helpful,0,Eric is polite and Nina is helpful, Eric is not helpful
,,1,constance went to timisoara and tanya went to timisoara,constance didn t go to timisoara
Ray is victorious,Sheryl is kind,0,Ray is victorious and Sheryl is kind, Edna is not powerful
,,0,"Minnie, who is a bartender, bought a pizza","Minnie, who is a vet, didn't buy a pizza"
Kristen is nice,Nicole is wonderful,1,Kristen is nice and Nicole is wonderful, Kristen is not nice
,,1,alfredo created a famous work of art and alfredo created a careful work of art,alfredo didn t create a famous work of art
,,1,eva went to hunedoara and eva went to blaj,eva didn t go to hunedoara
,,0,shirley created a worried work of art and shirley created an alive work of art,margarita didn t create an alive work of art
,,0,Emily saw Cory running from Lorraine's car,Emily didn't saw Cory running from a red bus
,,1,earl has visited cluj napoca and danny has visited cluj napoca,earl didn t visit cluj napoca
Tracey is aggressive,Felicia is helpful,0,Tracey is aggressive and Felicia is helpful, Tracey is not helpful
,,1,rebecca created a purple work of art and rebecca created an ugly work of art,rebecca didn t create a purple work of art
Rachel is victorious,Claude is mushy,0,Rachel is victorious and Claude is mushy, Claude is not victorious
,,0,"Leona, who is a electrician, visit Darryl","Leona, Audrey's mother, didn't visit Darryl"
,,1,jerome went to slatina and jerome went to dej,jerome didn t go to dej
,,0,"June, who is a vet, saw a blue plane","June, Susie's mother, didn't saw a blue plane"
,,1,roland has traveled to hunedoara and roland has traveled to arad,roland didn t travel to arad
,,1,"Sylvia, who is a vet, visit Chris",Sylvia isn't a vet
,,0,stephanie created a white work of art and stephanie created an ugly work of art,norma didn t create a white work of art
Fannie is eager,Mattie is wonderful,0,Fannie is eager and Mattie is wonderful, Ted is not dead
,,0,genevieve went to reghin and genevieve went to dej,genevieve didn t go to baia mare
,,1,nicole went to mangalia and nicole kept the game alive,nicole didn t go to mangalia
,,0,alicia has visited bucharest and alicia has visited turda,alicia didn t visit arad
,,1,beth went to dej and sherry went to dej,sherry didn t go to dej
,,0,joshua has visited vaslui and joshua has visited bucharest,joshua didn t visit lugoj
,,0,erik created a white work of art and erik created a dazzling work of art,erik didn t create a fierce work of art
,,0,maria has visited baia mare and maria has visited timisoara,maria didn t visit giurgiu
,,0,"George, who is a painter, bought a Chilean wine","George, Dan's father, didn't buy a Chilean wine"
,,0,wayne flew to vaslui and wayne ran into stacy,glenn didn t ring into stacy
Lynn is rich,Derrick is poor,1,Lynn is rich and Derrick is poor, Derrick is not poor
,,1,Darryl saw a boy running from Marcia's car,Darryl didn't saw a boy running
,,1,Jesse saw a girl running from a special recently built bus,Jesse didn't saw a girl running
,,0,"Jessie, who is a accountant, bought a cup of coffee","Jessie, Luz's mother, didn't buy a cup of coffee"
,,0,amelia flew to vaslui and amelia dug a hole,yolanda didn t dig a hole
,,0,"Julio, who is a dentist, saw the new Tesla Roadster","Julio, who is a bartender, didn't saw the new Tesla Roadster"
,,0,"Roger, who is a hairdresser, bought a japanese novel","Roger, who is a secretary, didn't buy a japanese novel"
,,0,"Ruben, who is a cashier, bought a cup of coffee","Ruben, who is a scientist, didn't buy a cup of coffee"
Rosemary is happy,Derek is aggressive,1,Rosemary is happy and Derek is aggressive, Rosemary is not happy
,,0,francis has visited cluj napoca and carla has visited cluj napoca,francis didn t visit arad
,,0,juanita created an aggressive work of art and juanita created a fit work of art,juanita didn t create a short work of art
,,1,henry forgave greg and henry kept the game alive,henry didn t keep the game alive
,,1,"Bill, who is a receptionist, saw the city mayor",Bill didn't saw the city mayor
,,0,Jeremy saw a boy driving a red car,Jeremy didn't saw a boy driving Florence's bicycle
